area_code,area_name,area_unit,dimension,dimension_value,population_base,population
E06000007,Warrington,Local Authority,ethnicity,"Black, Black British, Caribbean or African",asc_eligible,187
E06000007,Warrington,Local Authority,ethnicity,"Black, Black British, Caribbean or African",published,1167
E06000007,Warrington,Local Authority,ethnicity,Mixed or multiple ethnic groups,asc_eligible,342
E06000007,Warrington,Local Authority,ethnicity,Mixed or multiple ethnic groups,published,1589
E06000007,Warrington,Local Authority,ethnicity,Other ethnic group,asc_eligible,206
E06000007,Warrington,Local Authority,ethnicity,Other ethnic group,published,1312
E06000007,Warrington,Local Authority,ethnicity,White,asc_eligible,59237
E06000007,Warrington,Local Authority,ethnicity,White,published,158695
E06000007,Warrington,Local Authority,gender,All,published,170592
E06000007,Warrington,Local Authority,gender,Female,published,87122
E06000007,Warrington,Local Authority,gender,Male,published,83470
E06000008,Blackburn with Darwen,Local Authority,age_group,18 to 24,published,14643
E06000008,Blackburn with Darwen,Local Authority,age_group,18 to 64,asc_eligible,17293
E06000008,Blackburn with Darwen,Local Authority,age_group,18 to 64,published,97561
E06000008,Blackburn with Darwen,Local Authority,age_group,25 to 44,published,44713
E06000008,Blackburn with Darwen,Local Authority,age_group,45 to 64,published,38205
E06000008,Blackburn with Darwen,Local Authority,age_group,65 and above,asc_eligible,22400
E06000008,Blackburn with Darwen,Local Authority,age_group,65 and above,published,23175
E06000008,Blackburn with Darwen,Local Authority,age_group,65 to 74,published,12738
E06000008,Blackburn with Darwen,Local Authority,age_group,75 to 84,published,7806
E06000008,Blackburn with Darwen,Local Authority,age_group,85 and above,published,2631
E06000008,Blackburn with Darwen,Local Authority,age_group,All,asc_eligible,39693
E06000008,Blackburn with Darwen,Local Authority,age_group,All,published,120736
E06000008,Blackburn with Darwen,Local Authority,ethnicity,All,asc_eligible,39693
E06000008,Blackburn with Darwen,Local Authority,ethnicity,All,published,114947
E06000008,Blackburn with Darwen,Local Authority,ethnicity,Asian or Asian British,asc_eligible,7508
E06000008,Blackburn with Darwen,Local Authority,ethnicity,Asian or Asian British,published,36766
E06000008,Blackburn with Darwen,Local Authority,ethnicity,"Black, Black British, Caribbean or African",asc_eligible,154
E06000008,Blackburn with Darwen,Local Authority,ethnicity,"Black, Black British, Caribbean or African",published,903
E06000008,Blackburn with Darwen,Local Authority,ethnicity,Mixed or multiple ethnic groups,asc_eligible,315
E06000008,Blackburn with Darwen,Local Authority,ethnicity,Mixed or multiple ethnic groups,published,1251
E06000008,Blackburn with Darwen,Local Authority,ethnicity,Other ethnic group,asc_eligible,261
E06000008,Blackburn with Darwen,Local Authority,ethnicity,Other ethnic group,published,1380
E06000008,Blackburn with Darwen,Local Authority,ethnicity,White,asc_eligible,31455
E06000008,Blackburn with Darwen,Local Authority,ethnicity,White,published,74647
E06000008,Blackburn with Darwen,Local Authority,gender,All,published,120736
E06000008,Blackburn with Darwen,Local Authority,gender,Female,published,60856
E06000008,Blackburn with Darwen,Local Authority,gender,Male,published,59880
E06000009,Blackpool,Local Authority,age_group,18 to 24,published,10330
E06000009,Blackpool,Local Authority,age_group,18 to 64,asc_eligible,20849
E06000009,Blackpool,Local Authority,age_group,18 to 64,published,85283
E06000009,Blackpool,Local Authority,age_group,25 to 44,published,36447
E06000009,Blackpool,Local Authority,age_group,45 to 64,published,38506
E06000009,Blackpool,Local Authority,age_group,65 and above,asc_eligible,29188
E06000009,Blackpool,Local Authority,age_group,65 and above,published,29985
E06000009,Blackpool,Local Authority,age_group,65 to 74,published,15248
E06000009,Blackpool,Local Authority,age_group,75 to 84,published,10857
E06000009,Blackpool,Local Authority,age_group,85 and above,published,3880
E06000009,Blackpool,Local Authority,age_group,All,asc_eligible,50037
E06000009,Blackpool,Local Authority,age_group,All,published,115268
E06000009,Blackpool,Local Authority,ethnicity,All,asc_eligible,50037
E06000009,Blackpool,Local Authority,ethnicity,All,published,113146
E06000009,Blackpool,Local Authority,ethnicity,Asian or Asian British,asc_eligible,428
E06000009,Blackpool,Local Authority,ethnicity,Asian or Asian British,published,2829
E06000009,Blackpool,Local Authority,ethnicity,"Black, Black British, Caribbean or African",asc_eligible,110
E06000009,Blackpool,Local Authority,ethnicity,"Black, Black British, Caribbean or African",published,568
E06000009,Blackpool,Local Authority,ethnicity,Mixed or multiple ethnic groups,asc_eligible,347
E06000009,Blackpool,Local Authority,ethnicity,Mixed or multiple ethnic groups,published,1107
E06000009,Blackpool,Local Authority,ethnicity,Other ethnic group,asc_eligible,129
E06000009,Blackpool,Local Authority,ethnicity,Other ethnic group,published,684
E06000009,Blackpool,Local Authority,ethnicity,White,asc_eligible,49023
E06000009,Blackpool,Local Authority,ethnicity,White,published,107958
E06000009,Blackpool,Local Authority,gender,All,published,115268
E06000009,Blackpool,Local Authority,gender,Female,published,58354
E06000009,Blackpool,Local Authority,gender,Male,published,56914
E06000010,"Kingston upon Hull, City of",Local Authority,age_group,18 to 24,published,24558
E06000010,"Kingston upon Hull, City of",Local Authority,age_group,18 to 64,asc_eligible,32626
E06000010,"Kingston upon Hull, City of",Local Authority,age_group,18 to 64,published,170323
E06000010,"Kingston upon Hull, City of",Local Authority,age_group,25 to 44,published,81831
E06000010,"Kingston upon Hull, City of",Local Authority,age_group,45 to 64,published,63934
E06000010,"Kingston upon Hull, City of",Local Authority,age_group,65 and above,asc_eligible,40819
E06000010,"Kingston upon Hull, City of",Local Authority,age_group,65 and above,published,42699
E06000010,"Kingston upon Hull, City of",Local Authority,age_group,65 to 74,published,23609
E06000010,"Kingston upon Hull, City of",Local Authority,age_group,75 to 84,published,14160
E06000010,"Kingston upon Hull, City of",Local Authority,age_group,85 and above,published,4930
E06000010,"Kingston upon Hull, City of",Local Authority,age_group,All,asc_eligible,73445
E06000010,"Kingston upon Hull, City of",Local Authority,age_group,All,published,213022
E06000010,"Kingston upon Hull, City of",Local Authority,ethnicity,All,asc_eligible,73445
E06000010,"Kingston upon Hull, City of",Local Authority,ethnicity,All,published,207849
E06000010,"Kingston upon Hull, City of",Local Authority,ethnicity,Asian or Asian British,asc_eligible,748
E06000010,"Kingston upon Hull, City of",Local Authority,ethnicity,Asian or Asian British,published,5489
E06000010,"Kingston upon Hull, City of",Local Authority,ethnicity,"Black, Black British, Caribbean or African",asc_eligible,381
E06000010,"Kingston upon Hull, City of",Local Authority,ethnicity,"Black, Black British, Caribbean or African",published,3367
E06000010,"Kingston upon Hull, City of",Local Authority,ethnicity,Mixed or multiple ethnic groups,asc_eligible,717
E06000010,"Kingston upon Hull, City of",Local Authority,ethnicity,Mixed or multiple ethnic groups,published,2488
E06000010,"Kingston upon Hull, City of",Local Authority,ethnicity,Other ethnic group,asc_eligible,477
E06000010,"Kingston upon Hull, City of",Local Authority,ethnicity,Other ethnic group,published,3352
E06000010,"Kingston upon Hull, City of",Local Authority,ethnicity,White,asc_eligible,71122
E06000010,"Kingston upon Hull, City of",Local Authority,ethnicity,White,published,193153
E06000010,"Kingston upon Hull, City of",Local Authority,gender,All,published,213022
E06000010,"Kingston upon Hull, City of",Local Authority,gender,Female,published,106422
E06000010,"Kingston upon Hull, City of",Local Authority,gender,Male,published,106600
E06000011,East Riding of Yorkshire,Local Authority,age_group,18 to 24,published,20058
E06000011,East Riding of Yorkshire,Local Authority,age_group,18 to 64,asc_eligible,30012
E06000011,East Riding of Yorkshire,Local Authority,age_group,18 to 64,published,196457
E06000011,East Riding of Yorkshire,Local Authority,age_group,25 to 44,published,77144
E06000011,East Riding of Yorkshire,Local Authority,age_group,45 to 64,published,99255
E06000011,East Riding of Yorkshire,Local Authority,age_group,65 and above,asc_eligible,90496
E06000011,East Riding of Yorkshire,Local Authority,age_group,65 and above,published,96404
E06000011,East Riding of Yorkshire,Local Authority,age_group,65 to 74,published,47595
E06000011,East Riding of Yorkshire,Local Authority,age_group,75 to 84,published,35975
E06000011,East Riding of Yorkshire,Local Authority,age_group,85 and above,published,12834
E06000011,East Riding of Yorkshire,Local Authority,age_group,All,asc_eligible,120508
E06000011,East Riding of Yorkshire,Local Authority,age_group,All,published,292861
E06000011,East Riding of Yorkshire,Local Authority,ethnicity,All,asc_eligible,120508
E06000011,East Riding of Yorkshire,Local Authority,ethnicity,All,published,280691
E06000011,East Riding of Yorkshire,Local Authority,ethnicity,Asian or Asian British,asc_eligible,571
E06000011,East Riding of Yorkshire,Local Authority,ethnicity,Asian or Asian British,published,2856
E06000011,East Riding of Yorkshire,Local Authority,ethnicity,"Black, Black British, Caribbean or African",asc_eligible,131
E06000011,East Riding of Yorkshire,Local Authority,ethnicity,"Black, Black British, Caribbean or African",published,740
E06000011,East Riding of Yorkshire,Local Authority,ethnicity,Mixed or multiple ethnic groups,asc_eligible,470
E06000011,East Riding of Yorkshire,Local Authority,ethnicity,Mixed or multiple ethnic groups,published,1633
